method,granularity,TEST_GLOBAL_PRECISION,TEST_GLOBAL_RECALL,TEST_GLOBAL_F1.0_SCORE,TEST_BURSTY_INPUT_CRASH_RECALL,TEST_BURSTY_INPUT_CRASH_F1.0_SCORE,TEST_CPU_CONTENTION_RECALL,TEST_CPU_CONTENTION_F1.0_SCORE,TEST_EXECUTOR_FAILURE_RECALL,TEST_EXECUTOR_FAILURE_F1.0_SCORE,TEST_UNKNOWN_RECALL,TEST_UNKNOWN_F1.0_SCORE
unique_name_12345,global,0.1725993377483443,0.4510432291331167,0.249661478476494,0.4487179487179487,0.2493039304442888,0.4490978662326977,0.2493625314690071,0.4615384615384615,0.2512426570266606,0.4545454545454546,0.250194996100078
unique_name_12345,app1,0.1725993377483443,0.4510432291331167,0.249661478476494,0.4487179487179487,0.2493039304442888,0.4490978662326977,0.2493625314690071,0.4615384615384615,0.2512426570266606,0.4545454545454546,0.250194996100078
unique_name_12345,1_2_100000_68,0.7777777777777778,0.4487179487179487,0.5691056910569106,0.4487179487179487,0.5691056910569106,,,,,,
unique_name_12345,1_5_1000000_86,0.1875,0.4580419580419581,0.2660798916723087,,,,,0.4615384615384615,0.2666666666666666,0.4545454545454546,0.2654867256637168
unique_name_12345,1_4_1000000_80,0.1297709923664122,0.4490978662326977,0.2013577856362682,,,0.4490978662326977,0.2013577856362682,,,,
unique_name_12345,trace_avg,0.36501625671473,0.4519525909975348,0.3455144561218291,0.4487179487179487,0.5691056910569106,0.4490978662326977,0.2013577856362682,0.4615384615384615,0.2666666666666666,0.4545454545454546,0.2654867256637168
unique_name_12345,app_avg,0.1725993377483443,0.4510432291331167,0.249661478476494,0.4487179487179487,0.2493039304442888,0.4490978662326977,0.2493625314690071,0.4615384615384615,0.2512426570266606,0.4545454545454546,0.250194996100078
unique_name_001,global,0.17259933774834438,0.45104322913311673,0.24966147847649403,0.4487179487179487,0.24930393044428883,0.4490978662326977,0.24936253146900714,0.46153846153846156,0.25124265702666065,0.4545454545454546,0.250194996100078
unique_name_001,app1,0.17259933774834438,0.45104322913311673,0.24966147847649403,0.4487179487179487,0.24930393044428883,0.4490978662326977,0.24936253146900714,0.46153846153846156,0.25124265702666065,0.4545454545454546,0.250194996100078
unique_name_001,1_4_1000000_80,0.1297709923664122,0.4490978662326977,0.20135778563626822,,,0.4490978662326977,0.20135778563626822,,,,
unique_name_001,1_5_1000000_86,0.1875,0.4580419580419581,0.2660798916723087,,,,,0.46153846153846156,0.26666666666666666,0.4545454545454546,0.26548672566371684
unique_name_001,1_0_500000_18,1.0,1.0,1.0,,,,,,,,
unique_name_001,1_0_100000_15,1.0,1.0,1.0,,,,,,,,
unique_name_001,1_0_1000000_14,1.0,1.0,1.0,,,,,,,,
unique_name_001,1_2_100000_68,0.7777777777777778,0.4487179487179487,0.5691056910569106,0.4487179487179487,0.5691056910569106,,,,,,
unique_name_001,1_0_500000_19,1.0,1.0,1.0,,,,,,,,
unique_name_001,1_0_100000_16,1.0,1.0,1.0,,,,,,,,
unique_name_001,1_0_10000_17,1.0,1.0,1.0,,,,,,,,
unique_name_001,trace_avg,0.7883387522382432,0.8173175303325118,0.7818381520406097,0.4487179487179487,0.5691056910569106,0.4490978662326977,0.20135778563626822,0.46153846153846156,0.26666666666666666,0.4545454545454546,0.26548672566371684
unique_name_001,app_avg,0.17259933774834438,0.45104322913311673,0.24966147847649403,0.4487179487179487,0.24930393044428883,0.4490978662326977,0.24936253146900714,0.46153846153846156,0.25124265702666065,0.4545454545454546,0.250194996100078
